sitios;Lat;Long;Rangos Prof.;Región;T ;Sal;Den;O2%;Chla;Ptrars;Orthyc;Gzolvc;Nclncs;Arczbr;Mcmtnt;Trgnca;Lvcrds;Xnphrl;Nclnac;Prpmsd;Tllnpr;Csmsp.;Abrlng;Plystt;Nmcrdt;Pctnch;Aqpctl;Nldltt;Nmcrdp;Brbtcn;Llsp.1;Lptchb;Prtlnn;Lvdntc;Tllnpr;Smrsst;Ccclnm;Prmymr;Mcmpsd;Lvcrdl;Tllnmr;Nclplc;Clyptc;Prmyrs;Scphwr;Flgrfb;Nsssp.;Nelsp.;Mlnclr;Nclnvt;Tllnjt;Lcsyrv;Crdmyp;Plrbri;Ntcrth;Nclsp.;Cccsp.;Lvcrdp;Antsp.;Tndrcy;Cmpsdg;Orthys;Pzllor;Sirtsb;Entlnp;Ccclnr;Dntlma;Cplsp.
18;11,33;-74,28;370-550;N;8,4329167;34,850091;29,343334;5,15875;0,015909091;0;0;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;11,16;-74,66;370-550;N;8,4779583;34,851886;29,323776;5,1591667;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;11,2;-74,29;200-330;M;17,89625;36,350432;27,234576;5,86;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
21;11,09;-75,26;200-330;M;15,591292;35,972818;27,754258;5,6804167;0;0;17;0;0;0;0;0;0;0;7;1;0;0;1;5;0;0;0;0;0;0;0;5;1;0;0;4;0;0;0;0;0;5;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;1
22;10,47;-75,71;200-330;M;13,268292;35,599864;28,221994;5,4416667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
23;11,23;-74,66;200-330;S;15,355875;35,948341;27,868768;5,6458333;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
24;11,25;-74,65;370-550;M;10,314633;35,127418;28,832558;5,0916667;0;0;0;304;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;2;11;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
25;11,12;-75,13;370-550;M;9,0254583;34,946795;29,20684;5,04;0;0;0;8;0;0;0;0;0;10;0;5;0;0;0;0;0;0;0;0;0;0;0;5;2;10;0;0;0;0;0;0;0;1;0;2;13;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0
26;11,13;-75,23;370-550;M;9,27525;35,003591;29,298066;5,0375;0,006818182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
27;10,15;-76,01;370-550;M;9,4763333;35,039614;29,25511;4,98;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;2;0;0;0;0;1;0;0;2;0;6;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0
28;9,95;-76,15;200-330;S;14,138375;35,7485;28,075231;5,4645833;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
29;9,76;-76,26;200-330;S;14,392417;35,791364;27,977513;5,4729167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;3;0;0;1;0;5;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
30;10,17;-76,03;200-330;S;14,348208;35,790136;28,03046;5,44;0;0;0;8;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
31;9,89;-76,24;370-550;S;9,3724583;35,019568;29,284614;5,0258333;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
